datetime,GHI,BNI,DHI,DBT,RH,Ws10,Wd10,Patmo,Rainfall
2022-10-01 00:00:00+04:00,0.0,0.0,0.0,19.334,76.763,1.8955,59.739,1021.0,0.0
2022-10-01 00:10:00+04:00,0.0,0.0,0.0,19.077,74.063,0.7622,66.277,1021.0,0.0
2022-10-01 00:20:00+04:00,0.0,0.0,0.0,19.079,73.598,0.6355,73.171,1021.0,0.0
2022-10-01 00:30:00+04:00,0.0,0.0,0.0,19.141,73.279,1.2122,75.118,1021.0,0.0
2022-10-01 00:40:00+04:00,0.0,0.0,0.0,18.595,74.68,0.5601,77.0,1021.0,0.0
2022-10-01 00:50:00+04:00,0.0,0.0,0.0,18.663,74.726,0.506,61.19,1021.0,0.0
2022-10-01 01:00:00+04:00,0.0,0.0,0.0,18.427,75.224,0.814,65.432,1021.0,0.0
2022-10-01 01:10:00+04:00,0.0,0.0,0.0,18.86,79.312,1.4758,100.36,1021.0,0.0
2022-10-01 01:20:00+04:00,0.0,0.0,0.0,19.393,80.236,1.1456,102.5,1021.0,0.0
2022-10-01 01:30:00+04:00,0.0,0.0,0.0,19.69,81.05,2.2186,110.81,1021.0,0.0
2022-10-01 01:40:00+04:00,0.0,0.0,0.0,19.798,82.47,3.1375,124.31,1021.0,0.0
2022-10-01 01:50:00+04:00,0.0,0.0,0.0,19.491,84.54,3.0091,118.54,1021.0,0.0
2022-10-01 02:00:00+04:00,0.0,0.0,0.0,18.963,85.84,1.7266,100.24,1021.0,0.02
2022-10-01 02:10:00+04:00,0.0,0.0,0.0,18.823,87.74,1.9002,92.528,1021.0,0.0
2022-10-01 02:20:00+04:00,0.0,0.0,0.0,18.943,87.79,1.606,87.521,1021.0,0.0
2022-10-01 02:30:00+04:00,0.0,0.0,0.0,19.023,87.45,1.4645,92.62,1021.0,0.02
2022-10-01 02:40:00+04:00,0.0,0.0,0.0,19.009,87.33,1.4865,91.3,1020.0,0.0
2022-10-01 02:50:00+04:00,0.0,0.0,0.0,18.83,86.68,1.4496,77.3063,1020.0,0.0
2022-10-01 03:00:00+04:00,0.0,0.0,0.0,18.8,85.81,2.2925,78.14,1020.0,0.0
2022-10-01 03:10:00+04:00,0.0,0.0,0.0,18.854,85.08,1.242,83.187,1020.0,0.0
2022-10-01 03:20:00+04:00,0.0,0.0,0.0,18.892,84.68,0.9613,85.079,1020.0,0.0
2022-10-01 03:30:00+04:00,0.0,0.0,0.0,19.118,84.33,1.0251,100.592,1020.0,0.0
2022-10-01 03:40:00+04:00,0.0,0.0,0.0,19.121,84.09,0.4657,91.22,1020.0,0.0
2022-10-01 03:50:00+04:00,0.0,0.0,0.0,19.089,84.27,1.1179,95.84,1020.0,0.0
2022-10-01 04:00:00+04:00,0.0,0.0,0.0,19.178,84.31,0.3464,96.9,1020.0,0.0
2022-10-01 04:10:00+04:00,0.0,0.0,0.0,19.193,84.76,0.9354,96.78,1020.0,0.0
2022-10-01 04:20:00+04:00,0.0,0.0,0.0,19.227,85.4,0.1923,98.9,1020.0,0.0
2022-10-01 04:30:00+04:00,0.0,0.0,0.0,19.191,86.19,0.103,105.47,1020.0,0.0
2022-10-01 04:40:00+04:00,0.0,0.0,0.0,19.297,86.84,0.9086,123.81,1020.0,0.0
2022-10-01 04:50:00+04:00,0.0,0.0,0.0,19.476,86.61,1.7298,120.4,1020.0,0.0
2022-10-01 05:00:00+04:00,0.0,0.0,0.0,19.331,86.08,1.4246,104.952,1020.0,0.0
2022-10-01 05:10:00+04:00,0.0,0.0,0.0,17.991,83.77,0.2107,66.403,1020.0,0.0
2022-10-01 05:20:00+04:00,0.0,0.0,0.0,17.326,83.78,0.9379,57.248,1020.0,0.0
2022-10-01 05:30:00+04:00,0.0,0.0,0.0,17.211,78.645,1.1019,40.206,1020.5,0.0
2022-10-01 05:40:00+04:00,0.0,0.062,0.0,17.254,77.204,0.4079,44.925,1021.0,0.0
2022-10-01 05:50:00+04:00,0.0,0.0292,0.0032,16.667,79.303,0.103,31.577,1021.0,0.0
2022-10-01 06:00:00+04:00,1.0966,0.0,1.4917,16.487,80.622,0.2732,52.9283,1021.0,0.0
2022-10-01 06:10:00+04:00,7.8824,0.0,7.5813,16.282,80.388,0.1034,76.73,1021.0,0.0
2022-10-01 06:20:00+04:00,21.868,0.2598,20.595,16.531,78.803,0.1032,49.969,1021.0,0.0
2022-10-01 06:30:00+04:00,55.079,160.1167,33.938,16.91,78.362,0.103,42.829,1021.0,0.0
2022-10-01 06:40:00+04:00,81.603,281.898,37.282,17.555,79.141,0.4211,76.107,1021.0,0.0
2022-10-01 06:50:00+04:00,112.457,329.187,45.641,18.458,81.031,0.7377,83.55,1021.0,0.0
2022-10-01 07:00:00+04:00,59.507,25.4466,52.224,17.6,77.633,0.462,117.149,1021.0,0.0
2022-10-01 07:10:00+04:00,183.385,348.054,79.953,17.882,76.397,0.8186,81.12,1021.0,0.0
2022-10-01 07:20:00+04:00,275.71,602.96,73.987,20.33,71.85,1.6318,63.668,1021.0,0.0
2022-10-01 07:30:00+04:00,304.61,635.44,65.158,21.65,72.169,2.8893,100.79,1021.0,0.0
2022-10-01 07:40:00+04:00,341.93,668.65,62.887,22.104,70.087,2.5442,84.411,1021.0,0.0
2022-10-01 07:50:00+04:00,382.74,694.18,64.647,22.532,68.952,2.5281,95.97,1021.0,0.0
2022-10-01 08:00:00+04:00,424.26,714.22,67.17,22.95,66.092,3.1046,87.599,1021.0,0.0
2022-10-01 08:10:00+04:00,465.53,735.01,69.945,23.426,62.515,1.6325,87.353,1022.0,0.0
2022-10-01 08:20:00+04:00,502.14,738.36,74.975,23.586,65.042,3.1776,122.94,1022.0,0.0
2022-10-01 08:30:00+04:00,539.07,742.26,80.52,23.195,67.871,3.4994,130.67,1022.0,0.0
2022-10-01 08:40:00+04:00,578.32,751.43,84.86,23.375,70.426,4.1069,129.96,1022.0,0.0
2022-10-01 08:50:00+04:00,604.81,693.93,122.73,23.422,71.106,3.9679,126.12,1022.0,0.0
2022-10-01 09:00:00+04:00,678.61,771.89,118.09,23.399,70.649,4.9355,123.09,1022.0,0.0
2022-10-01 09:10:00+04:00,688.76,793.92,86.71,23.192,69.51,5.6133,113.3,1021.8,0.0
2022-10-01 09:20:00+04:00,720.86,804.4,86.73,23.339,68.15,5.057,113.07,1021.6,0.0
2022-10-01 09:30:00+04:00,751.02,811.6,88.36,24.173,64.822,4.1057,109.59,1022.0,0.0
2022-10-01 09:40:00+04:00,781.02,814.0,94.28,24.402,63.48,4.0921,117.47,1022.0,0.0
2022-10-01 09:50:00+04:00,808.06,806.04,108.92,24.182,66.711,4.1914,127.8,1021.5,0.0
2022-10-01 10:00:00+04:00,838.7,805.65,120.9,24.204,67.81,4.7493,128.01,1021.7,0.0
2022-10-01 10:10:00+04:00,870.2,810.4,133.05,24.069,67.81,5.5679,121.73,1021.5,0.0
2022-10-01 10:20:00+04:00,893.3,808.3,144.24,24.049,68.271,5.2884,126.79,1022.0,0.0
2022-10-01 10:30:00+04:00,912.5,805.42,152.78,24.167,67.967,5.2233,124.02,1022.0,0.0
2022-10-01 10:40:00+04:00,971.8,809.11,194.77,24.395,65.804,5.3815,123.46,1022.0,0.0
2022-10-01 10:50:00+04:00,920.51,637.6,298.85,24.833,63.334,4.8037,128.48,1022.0,0.0
2022-10-01 11:00:00+04:00,1060.3,739.21,331.55,24.812,62.534,5.0679,124.23,1022.0,0.0
