datetime,POA_NE,POA_SW,Inv1_AC,Inv1_DC_MPPT1,Inv1_DC_MPPT2,Inv2_AC,Inv2_DC_MPPT1,OInv2_DC_MPPT2,Inv3_AC,Inv3_DC_MPPT1,Inv3_DC_MPPT2,Inv4_AC,Inv4_DC_MPPT1,Inv4_DC_MPPT2
01/10/2022 00:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 00:10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 00:20,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 00:30,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 00:40,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 00:50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 01:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 01:10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 01:20,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 01:30,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 01:40,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 01:50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 02:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 02:10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 02:20,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 02:30,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 02:40,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 02:50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 03:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 03:10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 03:20,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 03:30,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 03:40,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 03:50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 04:10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 04:20,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 04:30,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 04:40,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 04:50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 05:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 05:10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 05:20,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 05:30,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 05:40,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 05:50,0.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 06:00,2.6,1.1,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2022 06:10,8.1,6.6,61,67,31,0,0,0,0,0,0,0,0,0
01/10/2022 06:20,19.1,17.6,248,194,95,142,90,89,0,0,0,201,212,183
01/10/2022 06:30,39.3,30.4,536,382,196,306,186,156,283,253,226,300,267,232
01/10/2022 06:40,55.8,35.9,434,317,160,250,155,136,267,245,217,285,258,227
01/10/2022 06:50,79.6,48.8,362,271,131,214,131,122,286,253,226,294,261,230
01/10/2022 07:00,46.6,43.3,515,372,184,314,183,170,479,349,321,492,360,326
01/10/2022 07:10,158.4,109.2,2394,1642,819,1439,824,667,1980,1076,1129,2107,1199,1144
01/10/2022 07:20,235.4,156.9,2585,1771,885,1557,886,725,2228,1206,1246,2343,1316,1258
01/10/2022 07:30,262.9,182.6,2980,2042,1020,1799,1023,831,2666,1434,1457,2809,1553,1494
01/10/2022 07:40,299.5,217.4,3413,2333,1168,2053,1170,943,3183,1702,1708,3330,1818,1756
01/10/2022 07:50,341.7,257.7,3850,2630,1316,2314,1321,1055,3698,1955,1966,3867,2084,2019
01/10/2022 08:00,383.8,294.4,4264,2912,1456,2586,1462,1187,4257,2208,2224,4454,2355,2287
01/10/2022 08:10,426.0,334.7,4647,3171,1585,2904,1591,1381,4756,2469,2456,4870,2595,2459
01/10/2022 08:20,464.5,371.3,5039,3436,1720,3225,1729,1565,5220,2698,2684,5418,2827,2763
01/10/2022 08:30,501.1,408.0,5443,3710,1857,3476,1865,1690,5721,2948,2934,5933,3090,3021
01/10/2022 08:40,541.5,446.5,5820,3967,1983,3729,1999,1809,6252,3225,3186,6446,3356,3282
01/10/2022 08:50,589.1,494.1,6322,4307,2155,4051,2169,1963,7069,3669,3581,7237,3763,3689
01/10/2022 09:00,634.9,545.5,6499,4430,2215,4169,2227,2020,7159,3716,3626,7333,3813,3737
01/10/2022 09:10,649.6,552.8,6841,4659,2332,4398,2346,2128,7559,3920,3830,7742,4023,3945
01/10/2022 09:20,680.8,583.9,7100,4835,2420,4568,2435,2209,7888,4092,4005,8098,4202,4124
01/10/2022 09:30,711.9,616.9,7328,4996,2501,4727,2516,2286,8238,4277,4174,8434,4377,4301
01/10/2022 09:40,743.1,648.1,7500,5119,2562,4845,2580,2344,8511,4430,4299,8675,4494,4419
01/10/2022 09:50,772.4,679.3,7843,5353,2680,5063,2698,2452,8913,4641,4507,9099,4708,4642
01/10/2022 10:00,801.7,710.4,8133,5543,2776,5248,2793,2538,9213,4798,4659,9403,4864,4794
01/10/2022 10:10,831.0,741.6,8303,5666,2832,5367,2854,2598,9461,4923,4787,9684,5006,4942
01/10/2022 10:20,854.9,767.2,7359,4988,2545,4938,2610,2411,9239,4867,4606,9426,4926,4955
01/10/2022 10:30,864.0,781.9,9019,6145,3079,5828,3105,2821,10307,5361,5219,10530,5444,5372
01/10/2022 10:40,930.0,844.2,7173,4842,2513,3869,2159,1937,9750,5397,4622,7428,3989,3587
