datetime,POA_NE,POA_SW,Inv1_AC,Inv1_DC_MPPT1,Inv1_DC_MPPT2,Inv2_AC,Inv2_DC_MPPT1,Inv2_DC_MPPT2,Inv3_AC,Inv3_DC_MPPT1,Inv3_DC_MPPT2,Inv4_AC,Inv4_DC_MPPT1,Inv4_DC_MPPT2
2022-10-01 00:00:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 00:10:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 00:20:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 00:30:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 00:40:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 00:50:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 01:00:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 01:10:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 01:20:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 01:30:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 01:40:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 01:50:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 02:00:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 02:10:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 02:20:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 02:30:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 02:40:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 02:50:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 03:00:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 03:10:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 03:20:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 03:30:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 03:40:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 03:50:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 04:00:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 04:10:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 04:20:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 04:30:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 04:40:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 04:50:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 05:00:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 05:10:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 05:20:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 05:30:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 05:40:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 05:50:00+04:00,0.8,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 06:00:00+04:00,2.6,1.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 06:10:00+04:00,8.1,6.6,61,67,31,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 06:20:00+04:00,19.1,17.6,248,194,95,142,90,89,0,0,0,201.0,212.0,183.0
2022-10-01 06:30:00+04:00,39.3,30.4,536,382,196,306,186,156,283,253,226,300.0,267.0,232.0
2022-10-01 06:40:00+04:00,55.8,35.9,434,317,160,250,155,136,267,245,217,285.0,258.0,227.0
2022-10-01 06:50:00+04:00,79.6,48.8,362,271,131,214,131,122,286,253,226,294.0,261.0,230.0
2022-10-01 07:00:00+04:00,46.6,43.3,515,372,184,314,183,170,479,349,321,492.0,360.0,326.0
2022-10-01 07:10:00+04:00,158.4,109.2,2394,1642,819,1439,824,667,1980,1076,1129,2107.0,1199.0,1144.0
2022-10-01 07:20:00+04:00,235.4,156.9,2585,1771,885,1557,886,725,2228,1206,1246,2343.0,1316.0,1258.0
2022-10-01 07:30:00+04:00,262.9,182.6,2980,2042,1020,1799,1023,831,2666,1434,1457,2809.0,1553.0,1494.0
2022-10-01 07:40:00+04:00,299.5,217.4,3413,2333,1168,2053,1170,943,3183,1702,1708,3330.0,1818.0,1756.0
2022-10-01 07:50:00+04:00,341.7,257.7,3850,2630,1316,2314,1321,1055,3698,1955,1966,3867.0,2084.0,2019.0
2022-10-01 08:00:00+04:00,383.8,294.4,4264,2912,1456,2586,1462,1187,4257,2208,2224,4454.0,2355.0,2287.0
2022-10-01 08:10:00+04:00,426.0,334.7,4647,3171,1585,2904,1591,1381,4756,2469,2456,4870.0,2595.0,2459.0
2022-10-01 08:20:00+04:00,464.5,371.3,5039,3436,1720,3225,1729,1565,5220,2698,2684,5418.0,2827.0,2763.0
2022-10-01 08:30:00+04:00,501.1,408.0,5443,3710,1857,3476,1865,1690,5721,2948,2934,5933.0,3090.0,3021.0
2022-10-01 08:40:00+04:00,541.5,446.5,5820,3967,1983,3729,1999,1809,6252,3225,3186,6446.0,3356.0,3282.0
2022-10-01 08:50:00+04:00,589.1,494.1,6322,4307,2155,4051,2169,1963,7069,3669,3581,7237.0,3763.0,3689.0
2022-10-01 09:00:00+04:00,634.9,545.5,6499,4430,2215,4169,2227,2020,7159,3716,3626,7333.0,3813.0,3737.0
2022-10-01 09:10:00+04:00,649.6,552.8,6841,4659,2332,4398,2346,2128,7559,3920,3830,7742.0,4023.0,3945.0
2022-10-01 09:20:00+04:00,680.8,583.9,7100,4835,2420,4568,2435,2209,7888,4092,4005,8098.0,4202.0,4124.0
2022-10-01 09:30:00+04:00,711.9,616.9,7328,4996,2501,4727,2516,2286,8238,4277,4174,8434.0,4377.0,4301.0
2022-10-01 09:40:00+04:00,743.1,648.1,7500,5119,2562,4845,2580,2344,8511,4430,4299,8675.0,4494.0,4419.0
2022-10-01 09:50:00+04:00,772.4,679.3,7843,5353,2680,5063,2698,2452,8913,4641,4507,9099.0,4708.0,4642.0
2022-10-01 10:00:00+04:00,801.7,710.4,8133,5543,2776,5248,2793,2538,9213,4798,4659,9403.0,4864.0,4794.0
2022-10-01 10:10:00+04:00,831.0,741.6,8303,5666,2832,5367,2854,2598,9461,4923,4787,9684.0,5006.0,4942.0
2022-10-01 10:20:00+04:00,854.9,767.2,7359,4988,2545,4938,2610,2411,9239,4867,4606,9426.0,4926.0,4955.0
2022-10-01 10:30:00+04:00,864.0,781.9,9019,6145,3079,5828,3105,2821,10307,5361,5219,10530.0,5444.0,5372.0
2022-10-01 10:40:00+04:00,930.0,844.2,7173,4842,2513,3869,2159,1937,9750,5397,4622,7428.0,3989.0,3587.0
2022-10-01 10:50:00+04:00,869.5,792.9,10320,6947,3586,6769,3605,3251,12485,6387,6431,12756.0,6597.0,6452.0
2022-10-01 11:00:00+04:00,926.4,915.7,5887,4276,1754,3017,1728,1482,11973,6559,5740,8338.0,4822.0,3722.0
2022-10-01 11:10:00+04:00,889.7,833.2,9857,6678,3431,6555,3475,3181,12066,6245,6108,11555.0,6072.0,5805.0
2022-10-01 11:20:00+04:00,926.4,858.9,9874,6764,3401,6129,3250,2970,12071,6232,6135,11481.0,6135.0,5830.0
2022-10-01 11:30:00+04:00,983.2,906.5,10064,6770,3523,6694,3556,3238,12212,6302,6217,12397.0,6395.0,6327.0
2022-10-01 11:40:00+04:00,1062.0,996.3,4961,3415,1679,3177,1704,1556,6889,3438,3587,8167.0,4066.0,4282.0
2022-10-01 11:50:00+04:00,875.0,813.0,8227,5123,2705,5678,3000,2770,7508,3845,3883,7052.0,3625.0,3666.0
2022-10-01 12:00:00+04:00,812.7,781.9,10378,6962,3640,6918,3680,3341,12929,6629,6627,13077.0,6752.0,6659.0
2022-10-01 12:10:00+04:00,1032.7,983.5,9071,6157,3119,5945,3159,2879,10943,5625,5593,11264.0,5810.0,5748.0
2022-10-01 12:20:00+04:00,983.2,932.2,9874,6683,3419,6497,3451,3142,11847,6115,6021,11990.0,6214.0,6123.0
2022-10-01 12:30:00+04:00,997.8,946.8,9874,6679,3410,6495,3444,3136,11824,6124,6021,12189.0,6259.0,6221.0
2022-10-01 12:40:00+04:00,875.0,849.7,6643,4543,2312,4119,2183,2044,7739,3955,3904,7783.0,4037.0,3974.0
2022-10-01 12:50:00+04:00,933.7,906.5,5697,3890,1984,3459,1849,1718,6605,3411,3373,6654.0,3450.0,3408.0
2022-10-01 13:00:00+04:00,653.3,649.9,8856,5782,2974,5614,3019,2658,9499,4536,4518,9423.0,4851.0,4866.0
2022-10-01 13:10:00+04:00,790.7,783.7,8625,5870,3003,6300,3092,2873,12600,7087,6548,13941.0,7151.0,7100.0
2022-10-01 13:20:00+04:00,755.9,743.4,10406,6905,3781,7161,3814,3477,13635,7091,6844,13897.0,7159.0,7063.0
2022-10-01 13:30:00+04:00,748.6,741.6,5685,3917,1942,3632,1938,1800,7100,3669,3623,7201.0,3743.0,3681.0
2022-10-01 13:40:00+04:00,699.1,708.6,5413,3727,1858,3440,1854,1691,7482,3901,3770,7289.0,3792.0,3716.0
2022-10-01 13:50:00+04:00,684.4,693.9,5432,3736,1867,3491,1875,1719,7115,3667,3639,7201.0,3729.0,3692.0
2022-10-01 14:00:00+04:00,482.8,497.8,4986,3430,1712,3173,1708,1560,6653,3436,3430,6714.0,3485.0,3426.0
2022-10-01 14:10:00+04:00,473.6,488.6,4007,2763,1379,2533,1375,1254,5360,2801,2763,5431.0,2829.0,2784.0
2022-10-01 14:20:00+04:00,350.8,369.5,3355,2318,1157,2112,1147,1052,4475,2361,2326,4516.0,2393.0,2349.0
2022-10-01 14:30:00+04:00,328.8,342.0,3209,2218,1107,2020,1097,1006,4256,2251,2216,4293.0,2282.0,2239.0
2022-10-01 14:40:00+04:00,312.4,327.3,2955,2044,1019,1853,1010,927,3944,2096,2062,3981.0,2126.0,2083.0
2022-10-01 14:50:00+04:00,275.7,288.9,2546,1766,881,1597,875,802,3432,1840,1807,3462.0,1866.0,1826.0
2022-10-01 15:00:00+04:00,228.0,239.4,1901,1329,663,1188,656,604,2551,1402,1368,2575.0,1422.0,1386.0
2022-10-01 15:10:00+04:00,189.6,197.2,1786,1250,624,1108,615,567,2344,1300,1266,2371.0,1317.0,1280.0
2022-10-01 15:20:00+04:00,176.7,184.4,1630,1144,572,1018,568,521,2146,1200,1168,2170.0,1216.0,1180.0
2022-10-01 15:30:00+04:00,167.6,175.2,1645,1156,574,1021,567,525,2158,1205,1173,2175.0,1220.0,1183.0
2022-10-01 15:40:00+04:00,189.6,197.2,2020,1408,704,1267,700,641,2625,1440,1406,2644.0,1461.0,1423.0
2022-10-01 15:50:00+04:00,198.7,208.2,1910,1334,665,1195,660,606,2530,1393,1358,2553.0,1413.0,1375.0
2022-10-01 16:00:00+04:00,182.2,191.7,1530,1079,537,950,530,489,2005,1129,1096,2024.0,1146.0,1112.0
2022-10-01 16:10:00+04:00,152.9,160.6,1353,956,476,838,474,434,1784,1017,982,1800.0,1031.0,996.0
2022-10-01 16:20:00+04:00,136.4,144.1,1229,872,434,763,433,396,1618,930,896,1632.0,944.0,910.0
2022-10-01 16:30:00+04:00,119.9,127.6,984,703,352,609,350,321,1300,768,736,1316.0,782.0,749.0
2022-10-01 16:40:00+04:00,101.6,107.4,841,608,303,515,298,275,1101,668,634,1116.0,679.0,651.0
2022-10-01 16:50:00+04:00,83.2,89.1,670,491,244,403,238,222,863,543,511,879.0,554.0,525.0
2022-10-01 17:00:00+04:00,70.4,78.1,568,411,203,332,201,186,713,466,435,726.0,475.0,447.0
2022-10-01 17:10:00+04:00,63.1,68.9,502,367,183,302,179,167,615,416,385,628.0,425.0,397.0
2022-10-01 17:20:00+04:00,50.3,56.1,347,264,131,204,128,119,409,309,280,421.0,315.0,288.0
2022-10-01 17:30:00+04:00,39.3,43.3,268,211,102,153,101,95,296,253,225,305.0,260.0,233.0
2022-10-01 17:40:00+04:00,33.8,37.8,237,190,93,135,91,84,236,220,193,244.0,226.0,199.0
2022-10-01 17:50:00+04:00,31.9,34.1,183,154,75,100,73,70,164,184,157,171.0,188.0,162.0
2022-10-01 18:00:00+04:00,20.9,24.9,94,94,45,42,42,42,39,71,95,48.0,69.0,102.0
2022-10-01 18:10:00+04:00,11.8,15.8,20,44,20,3,19,19,0,60,40,0.0,66.0,44.0
2022-10-01 18:20:00+04:00,4.4,6.6,0,11,7,0,0,0,0,47,27,0.0,49.0,27.0
2022-10-01 18:30:00+04:00,0.8,1.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 18:40:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 18:50:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 19:00:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 19:10:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 19:20:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 19:30:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 19:40:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 19:50:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 20:00:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 20:10:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 20:20:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 20:30:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 20:40:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 20:50:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 21:00:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 21:10:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 21:20:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 21:30:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 21:40:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 21:50:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-10-01 22:00:00+04:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
